id,Title,Author,Permalink
3,"This is Astro Better",3,http://www.astrobetter.com/blog/2009/04/11/this-is-astro-better/
13,"Mailplane: Gmail out of the Browser",3,http://www.astrobetter.com/blog/2009/04/11/mailplane-gmail-out-of-the-browser/
26,"Organize Travel Plans Better with TripIt",3,http://www.astrobetter.com/blog/2009/04/27/organize-travel-plans-better-with-tripit/
33,"Making Fonts Better in IDL Postscript Output",3,http://www.astrobetter.com/blog/2009/04/23/making-fonts-better-in-idl-postscript-output/
138,"Better To-Do Lists with Things",3,http://www.astrobetter.com/blog/2009/05/06/better-to-do-lists-with-things/
212,"IDL vs. Python",3,http://www.astrobetter.com/blog/2009/05/04/idl-vs-python/
227,"RSS feeds for Astronomers",3,http://www.astrobetter.com/blog/2009/05/18/rss-feeds-for-astronomers/
285,"New Laptop: MacBook Air",3,http://www.astrobetter.com/blog/2009/05/06/new-laptop-macbook-air/
333,"Respond Better: Dealing with Criticism",3,http://www.astrobetter.com/blog/2009/05/11/respond-better-dealing-with-criticism/
439,"Scisoft OSX 2009.5.2 Released",4,http://www.astrobetter.com/blog/2009/05/18/scisoft-osx-200952-released/
444,"Feedback and Contributions Request",3,http://www.astrobetter.com/blog/2009/05/19/feedback-and-contributions-request/
457,"Transmit, the Better FTP client, is on Sale",3,http://www.astrobetter.com/blog/2009/05/27/transmit-on-sale/
474,"Introducing Quicksilver",3,http://www.astrobetter.com/blog/2009/06/24/introducing-quicksilver/
481,"Deal with upper limits",5,http://www.astrobetter.com/blog/2009/05/29/deal-with-upper-limits/
498,"Introducing New Contributors and an Updated Look",3,http://www.astrobetter.com/blog/2009/06/03/introducing-new-contributors-and-an-updated-look/
512,"Presentations are a privilege",5,http://www.astrobetter.com/blog/2009/06/03/presentations-are-a-privilege/
533,"Taking Control of Your Queues",3,http://www.astrobetter.com/blog/2009/06/08/taking-control-of-your-queues/
575,"Connecting: Video, Voice, and Text ChatiC",4,http://www.astrobetter.com/blog/2009/06/11/connecting-video-voice-and-text-chatic/
584,"Stylish Laptop Stand",3,http://www.astrobetter.com/blog/2009/06/16/stylish-laptop-stand/
589,"myADS arXiv RSS Feeds: Now with Abstracts!",3,http://www.astrobetter.com/blog/2009/08/26/myads-arxiv-rss-feeds-now-with-abstracts/
598,"Devtools In Chromium",6,http://www.astrobetter.com/blog/2009/07/08/devtools-in-chromium/
637,"Hungry for Plots? Get some APLpy!",6,http://www.astrobetter.com/blog/2009/07/20/hungry-for-plots-get-some-aplpy/
674,"Learn to Take Breaks with Anti-RSI",3,http://www.astrobetter.com/blog/2009/08/13/learn-to-take-breaks-with-anti-rsi/
678,"Keeping track of your PDF papers with Papers",5,http://www.astrobetter.com/blog/2009/07/31/keeping-track-of-your-pdf-papers-with-papers/
697,"July Links",3,http://www.astrobetter.com/blog/2009/08/04/july-links/
704,"Resizing Windows and Focus Follows Mouse with MondoMouse",10,http://www.astrobetter.com/blog/2009/08/05/resizing-windows-and-focus-follows-mouse-with-mondomouse/
733,"DS9 and Remote Files",4,http://www.astrobetter.com/blog/2009/08/12/ds9-and-remote-files/
761,"Links: Mac Minimalism, Email Etiquette, IDL tips, and more...",3,http://www.astrobetter.com/blog/2009/08/16/links-mac-minimalism-email-etiquette-idl-tips-and-more/
813,"Links: Caffeine vs. Calories, Stress Worsens Allergies, and more...",3,http://www.astrobetter.com/blog/2009/08/28/links-caffeine-vs-calories-stress-worsens-allergies-and-more/
823,"Snow Leopard is Here",4,http://www.astrobetter.com/blog/2009/08/28/snow-leopard-is-here/
